hail,146.66311893876744
blood,146.42507764648209
sky,133.38711233026794
fire,125.44689225320036
sword,120.00765119525566
king,113.06179282449858
god,108.74557378933534
heart,105.8437296894727
battle,96.910108135284503
death,93.851058094613279
day,90.748516084449292
glory,88.867725608233712
wind,87.60050386348891
world,87.60050386348891
man,84.404854581949493
kingdom,81.159184446215491
thunder,81.159184446215491
side,79.980953047410338
brother,77.860858405595422
Valhalla,74.506948196119254
Odin,71.094180486586964
steel,71.094180486586964
night,71.094180486586964
war,67.61887202323885
life,67.61887202323885
wheel,67.61887202323885
fight,67.61887202323885
hell,64.076847422506901
sea,61.503888587225056
son,60.463333387469085
woman,56.772820234361589
hand,56.772820234361589
land,54.047289006231622
ride,52.998877028384051
earth,52.998877028384051
metal,52.998877028384051
end,52.998877028384051
warrior,52.700648535961527
time,50.187504253152468
slave,49.133899096574197
air,49.133899096574197
power,49.133899096574197
army,46.228801148744665
sound,45.168753827837222
hall,45.168753827837222
hammer,45.168753827837222
soul,41.092267687773038
gate,41.092267687773038
stand,41.092267687773038
Asgard,41.092267687773038
light,36.890453975173067
Kings,36.890453975173067
eye,36.890453975173067
call,36.890453975173067
ground,36.890453975173067
doom,36.890453975173067
name,36.890453975173067
Ye,36.890453975173067
hero,36.890453975173067
body,36.890453975173067
burning,32.6141391104576
spirit,32.54529320054047
word,32.54529320054047
lord,32.54529320054047
battlefield,32.54529320054047
wolf,32.54529320054047
friend,32.54529320054047
today,32.54529320054047
story,32.54529320054047
thee,32.54529320054047
Valkyries,32.54529320054047
rain,32.54529320054047
CROWN,28.032685451086827
giant,28.032685451086827
band,28.032685451086827
pride,28.032685451086827
weapon,28.032685451086827
darkness,28.032685451086827
house,28.032685451086827
victory,28.032685451086827
RING,28.032685451086827
home,28.032685451086827
sign,28.032685451086827
right,28.032685451086827
road,28.032685451086827
whirlwind,23.318722566126301
rune,23.318722566126301
horse,23.318722566126301
valiant dead,23.318722566126301
Hail Gods,23.318722566126301
Metal Kings,23.318722566126301
Sworn,23.318722566126301
ray,23.318722566126301
Thor,23.318722566126301
bringer,23.318722566126301
strength,23.318722566126301
pain,23.318722566126301
immortal,23.318722566126301
thy friend,23.318722566126301
fear,23.318722566126301
honor,23.318722566126301
fist,23.318722566126301
voice,23.318722566126301
string,23.318722566126301
thy weapon,23.318722566126301
rage,23.318722566126301
rainbow bridge,23.318722566126301
lie,23.318722566126301
father,23.318722566126301
hallelujah,23.318722566126301
head,23.318722566126301
Dixie land,23.318722566126301
Nessun Dorma,19.568483466274561
providence,18.35208814195007
dance,18.35208814195007
Freedom,18.35208814195007
door,18.35208814195007
Open Valhalla,18.35208814195007
killer,18.35208814195007
fame,18.35208814195007
spear,18.35208814195007
burnin,18.35208814195007
Gonna,18.35208814195007
white light,18.35208814195007
ass,18.35208814195007
warriors friend,18.35208814195007
divine right hail,18.35208814195007
raven,18.35208814195007
dominion,18.35208814195007
Long,18.35208814195007
heavy metal,18.35208814195007
tonight,18.35208814195007
greatest gift,18.35208814195007
way,18.35208814195007
reason,18.35208814195007
fallen brother,18.35208814195007
thy fate,18.35208814195007
Storm,18.35208814195007
bridge,18.35208814195007
demon,18.35208814195007
enemy,18.35208814195007
truth,18.35208814195007
heaven,18.35208814195007
thee home,18.35208814195007
smoke,18.35208814195007
Vincer,14.431950005302932
limb,14.431950005302932
grandfather,13.045655644183041
line,13.045655644183041
crusade,13.045655644183041
world tree,13.045655644183041
tire,13.045655644183041
charge,13.045655644183041
sail,13.045655644183041
throne,13.045655644183041
ENGLAND,13.045655644183041
sacrifice,13.045655644183041
hill,13.045655644183041
mead,13.045655644183041
stelle,13.045655644183041
living,13.045655644183041
Tramontate,13.045655644183041
reign,13.045655644183041
shape,13.045655644183041
ruler,13.045655644183041
rider,13.045655644183041
true metal people,13.045655644183041
golden voice,13.045655644183041
sorcery,13.045655644183041
silence,13.045655644183041
saddle,13.045655644183041
thy command,13.045655644183041
memory,13.045655644183041
whip,13.045655644183041
attack,13.045655644183041
fire ride,13.045655644183041
arm,13.045655644183041
Chariot drive,13.045655644183041
unity,13.045655644183041
power shinning,13.045655644183041
mountain,13.045655644183041
Louder,13.045655644183041
hot blood,13.045655644183041
knee,13.045655644183041
chain,13.045655644183041
lightning,13.045655644183041
berserker rage,13.045655644183041
majesty,13.045655644183041
mine,13.045655644183041
price,13.045655644183041
forest,13.045655644183041
revenge,13.045655644183041
beast,13.045655644183041
magic fall,13.045655644183041
real story,13.045655644183041
path,13.045655644183041
spark,13.045655644183041
serpent,13.045655644183041
own disciple,13.045655644183041
magic,13.045655644183041
true metal,13.045655644183041
prayer,13.045655644183041
Dixie,13.045655644183041
battle horn,13.045655644183041
flash,13.045655644183041
thousand,13.045655644183041
eagle,13.045655644183041
false pride,13.045655644183041
crowd,13.045655644183041
thy Valkyries,13.045655644183041
star,13.045655644183041
soldier,13.045655644183041
deed,13.045655644183041
gift,13.045655644183041
